Solute,Solvent,Temperature_K,Solubility,Units,MW,LogP,TPSA,HBD,HBA
[Zn++].CC(=C)C([O-])=O,water,298,-2.363208098,mol/L,150.47199999999998,-0.6901000000000002,40.129999999999995,0.0,2.0
CCNCC(O)c1cccc(O)c1,water,298,-3.45410264,mol/L,181.23499999999999,1.0351,52.489999999999995,3.0,3.0
[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,water,298,-2.990876868,mol/L,604.1740000000001,8.045700000000007,36.92,0.0,8.0
ClCc1ccc(Cl)cc1Cl,water,298,-3.512942193,mol/L,195.476,3.7322000000000015,0.0,0.0,0.0
CO[Si](OC)(C1CCCC1)C2CCCC2,water,298,-3.580560061,mol/L,228.4079999999999,3.6098000000000026,18.46,0.0,2.0
CC1(C)C2CCC(=C)C1C2,water,298,-4.292313455,mol/L,136.238,2.9987000000000013,0.0,0.0,0.0
O=C1CCCCCCCCCCCC(=O)OCCO1,water,298,-4.612412959,mol/L,270.3689999999999,3.377500000000002,52.60000000000001,0.0,4.0
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,water,298,-4.809134189,mol/L,386.6210000000001,4.635500000000003,95.58,4.0,4.0
CCCCCCCCCCCCOC(=O)C(C)O,water,298,-4.63414462,mol/L,258.40199999999993,3.831300000000003,46.53,1.0,3.0
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,water,298,-4.808027445,mol/L,385.6370000000001,4.601900000000001,101.36999999999999,4.0,4.0
CCCC(C)C.CCCC(C)CC.CCC(C)CC.CCC(C)C(C)C,water,298,-3.800584282,mol/L,372.76600000000013,10.406099999999995,0.0,0.0,0.0
CCCCC,water,298,-3.087390343,mol/L,72.151,2.1965000000000003,0.0,0.0,0.0
CC\C=C\C,water,298,-3.07508279,mol/L,70.135,1.9725,0.0,0.0,0.0
CCCCCC1C(CCC1=O)CC(=O)OC,water,298,-2.595803366,mol/L,226.31599999999995,2.725100000000001,43.370000000000005,0.0,3.0
NO,water,298,-0.763033718,mol/L,33.03,-0.6657000000000002,46.25,2.0,2.0
CCCCCC1C(CCC1=O)CC(=O)OC,water,298,-2.605752397,mol/L,226.31599999999995,2.725100000000001,43.370000000000005,0.0,3.0
C=CC(=O)OCCOc1ccccc1,water,298,-2.563625713,mol/L,192.21400000000003,1.7946,35.53,0.0,3.0
CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,water,298,-2.641819273,mol/L,499.71700000000016,6.85320000000001,77.43,1.0,4.0
OC(=O)CCCCCCCCC=C,water,298,-3.552826145,mol/L,184.27899999999997,3.3778000000000024,37.3,1.0,1.0
C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,water,298,-4.057185148,mol/L,570.3679999999999,2.2511,86.30000000000001,1.0,4.0
CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,water,298,-4.793227892,mol/L,366.50500000000017,3.6590000000000025,32.78,0.0,4.0
CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,water,298,-4.76337569,mol/L,340.4190000000001,3.567700000000002,43.519999999999996,0.0,4.0
CC(C)CCCCCCc1ccc(O)cc1,water,298,-4.587250025,mol/L,220.35600000000002,4.541200000000005,20.23,1.0,1.0
CC(=C)c1cccc(c1)C(C)=C,water,298,-4.451139225,mol/L,158.24399999999994,3.7528000000000024,0.0,0.0,0.0
[Mo],water,298,-4.203848464,mol/L,95.94,-0.0025,0.0,0.0,0.0
CC(C)(C)CCCCCC(=O)OC=C,water,298,-4.581332511,mol/L,198.30599999999998,3.6697000000000024,26.3,0.0,2.0
CC(C)=CCCC(=C)C=C,water,298,-4.430147743,mol/L,136.238,3.4750000000000023,0.0,0.0,0.0
Cc1ccc(cc1)C(C)(C)C,water,298,-4.472021768,mol/L,148.249,3.2925200000000014,0.0,0.0,0.0
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,water,298,-2.798144504,mol/L,298.427,1.9462199999999998,88.48,3.0,5.0
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,water,298,-2.799976972,mol/L,298.427,1.9462199999999998,88.48,3.0,5.0
OC(=O)C1CCCCC1,water,298,-1.445031941,mol/L,128.17100000000002,1.6513,37.3,1.0,1.0
[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1,water,298,-0.410897736,mol/L,1136.3280000000002,-14.301299999999994,433.55999999999995,3.0,26.0
C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,water,298,-3.893739071,mol/L,344.502,6.115200000000006,24.72,0.0,2.0
CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,water,298,-6.704870223,mol/L,658.8910000000001,9.583999999999996,101.88,2.0,8.0
CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,water,298,-7.973715535,mol/L,658.8910000000001,9.583999999999996,101.88,2.0,8.0
CC(C)=C1CCC(=CC1)C,water,298,-4.476286863,mol/L,136.238,3.453000000000002,0.0,0.0,0.0
Cc1ccc(cc1)C(C)(C)C,water,298,-4.568931781,mol/L,148.249,3.2925200000000014,0.0,0.0,0.0
[Cl-].CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,water,298,-3.038699623,mol/L,426.3480000000001,2.200100000000001,71.1,0.0,5.0
C1CN(CCO1)Sc2sc3ccccc3n2,water,298,-3.810962795,mol/L,252.364,2.635600000000001,25.36,0.0,5.0
CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,water,298,-2.593688492,mol/L,152.237,2.2099,12.53,0.0,1.0
[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O,water,298,-0.426136485,mol/L,1026.2630000000001,-9.94980000000002,414.73999999999995,4.0,23.0
[Na+].[Na+].CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1,water,298,-3.358911212,mol/L,868.35,4.107200000000002,246.79999999999995,3.0,16.0
CCCN(CCC)C(=O)SCC,water,298,-2.703174404,mol/L,189.32399999999998,2.9815000000000014,20.310000000000002,0.0,2.0
C1CC(CCC1COCC2CO2)COCC3CO3,water,298,-1.835797234,mol/L,256.342,1.6236,43.519999999999996,0.0,4.0
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,water,298,-3.905464204,mol/L,298.427,1.9462199999999998,88.48,3.0,5.0
[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,water,298,-4.141900896,mol/L,502.30700000000024,-10.5546,288.75,0.0,13.0
O=[P+]1Oc2ccccc2c3ccccc13,water,298,-1.779623135,mol/L,215.16799999999998,4.328400000000002,30.21,0.0,2.0
[nH]1ccc2ccccc12,water,298,-1.517296002,mol/L,117.15099999999997,2.1679000000000004,15.79,1.0,0.0
C=COC(=O)c1ccccc1,water,298,-2.622959195,mol/L,148.16099999999997,1.9868999999999999,26.3,0.0,2.0
COC(=O)c1ccc(cc1)C(C)(C)C,water,298,-3.739816376,mol/L,192.25799999999998,2.7707000000000015,26.3,0.0,2.0
Cc1cccc(CC(C)(C)CO)c1,water,298,-2.826535469,mol/L,178.275,2.556020000000001,20.23,1.0,1.0
CCCN(CCC)C(=O)SCC,water,298,-2.740647229,mol/L,189.32399999999998,2.9815000000000014,20.310000000000002,0.0,2.0
CC(=O)OC\C=C(C)/CCC=C(C)C,water,298,-3.754953216,mol/L,196.29,3.242200000000002,26.3,0.0,2.0
CC(=O)OC\C=C(C)/CCC=C(C)C,water,298,-3.758110816,mol/L,196.29,3.242200000000002,26.3,0.0,2.0
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,water,298,-4.054699779,mol/L,385.6370000000001,4.601900000000001,101.36999999999999,4.0,4.0
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,water,298,-2.695999804,mol/L,166.264,2.3612,20.23,1.0,1.0
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,water,298,-2.699463968,mol/L,166.264,2.3612,20.23,1.0,1.0
NO,water,298,-0.007827728,mol/L,33.03,-0.6657000000000002,46.25,2.0,2.0
CC1CC(=O)CC(C)(C)C1,water,298,-1.647141463,mol/L,140.22599999999997,2.401700000000001,17.07,0.0,1.0
CCOC(=O)CC(C)CC(C)(C)C,water,298,-3.778839505,mol/L,186.29499999999996,3.0119000000000016,26.3,0.0,2.0
C=CC(=O)OCCOc1ccccc1c2ccccc2,water,298,-3.951518842,mol/L,268.312,3.4616000000000016,35.53,0.0,3.0
C1CCC(CC1)N(Sc2sc3ccccc3n2)C4CCCCC4,water,298,-4.062663446,mol/L,346.5650000000002,6.270800000000006,16.130000000000003,0.0,4.0
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,water,298,-5.099066965,mol/L,488.67100000000033,1.4251999999999998,105.20000000000002,4.0,12.0
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,water,298,-5.123168748,mol/L,488.67100000000033,1.4251999999999998,105.20000000000002,4.0,12.0
CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,water,298,-4.975711291,mol/L,340.4190000000001,3.567700000000002,43.519999999999996,0.0,4.0
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,water,298,-5.14370945,mol/L,488.67100000000033,1.4251999999999998,105.20000000000002,4.0,12.0
CC(=C)C1CCC(=CC1)C,water,298,-4.622414899,mol/L,136.238,3.308900000000002,0.0,0.0,0.0
CC1=CC[C@H]2C[C@@H]1C2(C)C,water,298,-4.629148281,mol/L,136.238,2.9987000000000013,0.0,0.0,0.0
CC1=CCC2CC1C2(C)C,water,298,-4.629148281,mol/L,136.238,2.9987000000000013,0.0,0.0,0.0
Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,water,298,-4.952868803,mol/L,284.399,4.657380000000004,40.46,2.0,2.0
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,water,298,-5.47300058,mol/L,891.500999999999,18.769099999999984,78.9,0.0,6.0
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,water,298,-5.110164185,mol/L,386.6210000000001,4.635500000000003,95.58,4.0,4.0
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,water,298,-5.109057441,mol/L,385.6370000000001,4.601900000000001,101.36999999999999,4.0,4.0
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,water,298,-4.000621849,mol/L,298.427,1.9462199999999998,88.48,3.0,5.0
CC(C)(C)c1ccc(cc1)C(O)=O,water,298,-3.803825213,mol/L,178.23099999999997,2.6823000000000006,37.3,1.0,1.0
CCOC(=O)CC(C)CC(C)(C)C,water,298,-3.823043168,mol/L,186.29499999999996,3.0119000000000016,26.3,0.0,2.0
CSSC,water,298,-1.54270558,mol/L,94.20400000000001,1.6274,0.0,0.0,2.0
CCOC(=O)CC(C)CC(C)(C)C,water,298,-3.838837435,mol/L,186.29499999999996,3.0119000000000016,26.3,0.0,2.0
[Ca++].[O-][Si]([O-])=O,water,298,-2.650086994,mol/L,116.161,-3.2584,63.19,0.0,3.0
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,water,298,-4.058197606,mol/L,298.427,1.9462199999999998,88.48,3.0,5.0
CCc1ccc(C)nc1,water,298,-1.004260454,mol/L,121.18299999999998,1.9524199999999998,12.89,0.0,1.0
CC(C)CCCCCCO,water,298,-2.769973823,mol/L,144.258,2.5852000000000017,20.23,1.0,1.0
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,water,298,-2.979987205,mol/L,228.332,2.3712000000000004,46.53,1.0,3.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,water,298,-3.178447129,mol/L,360.4500000000002,1.5575999999999999,94.83,3.0,5.0
[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O,water,298,-1.427031257,mol/L,622.5880000000003,-1.6177599999999943,172.59999999999997,2.0,10.0
[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo],water,298,-4.229152992,mol/L,389.835,-1.8357999999999999,256.5,0.0,0.0
CC(=C)C(=O)OCCOc1ccccc1,water,298,-2.95264717,mol/L,206.241,2.1847000000000003,35.53,0.0,3.0
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,water,298,-4.151088918,mol/L,338.44400000000013,3.7177000000000024,46.150000000000006,0.0,5.0
CF,water,298,-0.175874377,mol/L,34.033,0.5857,0.0,0.0,0.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,water,298,-3.208540167,mol/L,360.4500000000002,1.5575999999999999,94.83,3.0,5.0
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,water,298,-4.130445839,mol/L,298.427,1.9462199999999998,88.48,3.0,5.0
C(COc1ccccc1)Oc2ccccc2,water,298,-3.988526528,mol/L,214.26399999999998,3.144400000000002,18.46,0.0,2.0
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,water,298,-7.278038713,mol/L,379.37500000000017,5.998200000000005,52.04,2.0,2.0
[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5,water,298,-1.439605121,mol/L,591.6210000000003,1.5511600000000008,158.48999999999998,3.0,8.0
CCCC(CCC)C(O)=O,water,298,-1.857977427,mol/L,144.214,2.2874,37.3,1.0,1.0
OC(=O)c1ccc(cc1)[N+]([O-])=O,water,298,-2.921998431,mol/L,167.11999999999995,1.293,80.44,1.0,3.0
[Zn++].[S-]c1sc2ccccc2n1.[S-]c3sc4ccccc4n3,water,298,-4.285895804,mol/L,397.8900000000001,4.401700000000002,25.78,0.0,6.0
Oc1ccccc1.ClCC2CO2.C=O,water,298,-4.034756761,mol/L,216.66399999999993,1.8312999999999997,49.83,1.0,3.0
CCCCCC/C=C/C1CC(=O)OC1=O,water,298,-4.021753515,mol/L,210.27299999999994,2.6027000000000005,43.370000000000005,0.0,3.0
CC(C)CC(C)CC(C)\C=C(/C)C1CC(=O)OC1=O,water,298,-4.124473249,mol/L,266.381,3.730800000000003,43.370000000000005,0.0,3.0
C1Cc2cccc3cccc1c23,water,298,-4.731752137,mol/L,154.21199999999996,2.9384000000000015,0.0,0.0,0.0
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,water,298,-5.094636314,mol/L,320.81600000000014,4.0477000000000025,52.99,2.0,3.0
CC(=C)C1CCC(=CC1)C,water,298,-4.750482894,mol/L,136.238,3.308900000000002,0.0,0.0,0.0
CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,water,298,-5.229282852,mol/L,406.9060000000002,4.694800000000003,90.29,3.0,4.0
CC1=CC[C@H]2C[C@@H]1C2(C)C,water,298,-4.772570424,mol/L,136.238,2.9987000000000013,0.0,0.0,0.0
CC1=CCC2CC1C2(C)C,water,298,-4.772570424,mol/L,136.238,2.9987000000000013,0.0,0.0,0.0
CC1=CC[C@H]2C[C@@H]1C2(C)C,water,298,-4.793854145,mol/L,136.238,2.9987000000000013,0.0,0.0,0.0
CC1=CCC2CC1C2(C)C,water,298,-4.793854145,mol/L,136.238,2.9987000000000013,0.0,0.0,0.0
C[Si](C)(C)O[Si](C)(C)C,water,298,-4.909505216,mol/L,162.38099999999997,2.6728000000000005,9.23,0.0,1.0
FC(=C)C(F)(F)F,water,298,-2.759957367,mol/L,114.04100000000001,2.0319000000000003,0.0,0.0,0.0
O=C1Oc2ccccc2C=C1,water,298,-1.886030361,mol/L,146.14499999999998,1.793,30.21,0.0,2.0
CC(=C)C1CCC(=CC1)C,water,298,-3.84649653,mol/L,136.238,3.308900000000002,0.0,0.0,0.0
[Na+].CCN(CC)c1ccc([C+](c2ccc(cc2)N(CC)Cc3cccc(c3)[S]([O-])(=O)=O)c4ccc(cc4)N(CC)Cc5cccc(c5)[S]([O-])(=O)=O)c(C)c1,water,298,-0.62297793,mol/L,775.969,4.725610000000006,124.12,0.0,9.0
S=[W]=S,water,298,-4.139133643,mol/L,247.97400000000002,1.2939,0.0,0.0,2.0
[Na+].[Na+].CC1=NN(C(=O)C1N=Nc2ccc(c3ccc(cc3[S]([O-])(=O)=O)N=NC4C(=NN(C4=O)c5ccccc5)C)c(c2)[S]([O-])(=O)=O)c6ccccc6,water,298,-1.642781181,mol/L,758.7060000000004,-1.0801999999999898,229.18,0.0,14.0
CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,water,298,-3.088778192,mol/L,196.29,2.7643000000000013,26.3,0.0,2.0
[Pb++].[O-][Si]([O-])=O,water,298,-6.6197116,mol/L,283.283,-3.2584,63.19,0.0,3.0
CCCC(=O)OC(C)(C)Cc1ccccc1,water,298,-4.135942613,mol/L,220.31199999999998,3.3510000000000018,26.3,0.0,2.0
Clc1ccccc1Cl,water,298,-2.974204554,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=CC(=O)C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)\C2=O)c5ccccc15,water,298,-2.603841144,mol/L,622.5480000000001,-4.739199999999995,197.31999999999996,2.0,12.0
Clc1ccccc1Cl,water,298,-2.974761699,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
Clc1ccccc1Cl,water,298,-2.979808431,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
CCCOCC(C)OCC(C)O,water,298,-0.070052651,mol/L,176.25599999999997,1.1988999999999999,38.69,1.0,3.0
C=CC(=O)OCCOc1ccccc1,water,298,-2.107693758,mol/L,192.21400000000003,1.7946,35.53,0.0,3.0
Clc1ccccc1Cl,water,298,-2.991237893,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,water,298,-4.170824759,mol/L,222.28799999999995,2.2430000000000003,58.86,0.0,4.0
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,water,298,-4.411194181,mol/L,386.6210000000001,4.635500000000003,95.58,4.0,4.0
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,water,298,-4.410087437,mol/L,385.6370000000001,4.601900000000001,101.36999999999999,4.0,4.0
Clc1ccccc1Cl,water,298,-2.992978555,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
Clc1ccccc1Cl,water,298,-2.997067437,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
Clc1ccccc1Cl,water,298,-3.00596115,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
CCN(CC[n+]1ccccc1)c2ccc(cc2)N=Nc3ccc(cc3Cl)[N+]([O-])=O.CC([O-])=O,water,298,-1.521890085,mol/L,469.92900000000026,4.233800000000003,115.10999999999999,0.0,7.0
Clc1ccccc1Cl,water,298,-3.021201116,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
Clc1ccccc1Cl,water,298,-3.030608585,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
Clc1ccccc1Cl,water,298,-3.040224354,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,water,298,-4.304709019,mol/L,278.348,3.3122000000000025,52.60000000000001,0.0,4.0
O=C(Oc1ccccc1)Oc2ccccc2,water,298,-4.216916663,mol/L,214.21999999999997,3.264400000000002,35.53,0.0,3.0
CCCCC(CC)C(=O)OC=C,water,298,-4.151910976,mol/L,170.25199999999998,2.8895000000000017,26.3,0.0,2.0
CC(=C)C(=O)NCNC(=O)C(C)=C,water,298,-1.189236756,mol/L,182.22299999999998,0.32850000000000007,58.2,2.0,2.0
C\1C\C=C/CC\C=C1,water,298,-2.965977173,mol/L,108.184,2.6728000000000014,0.0,0.0,0.0
CO[Si](CCCN=C=O)(OC)OC,water,298,-3.256981001,mol/L,205.286,0.5903999999999998,57.120000000000005,0.0,5.0
CCO[Si](CCCCl)(OCC)OCC,water,298,-3.32858345,mol/L,240.80299999999994,2.6637000000000013,27.69,0.0,3.0
Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,water,298,-1.823712475,mol/L,733.0020000000002,12.05423999999998,121.38000000000001,6.0,6.0
Cc1cccc(C)c1O,water,298,-1.045561224,mol/L,122.16699999999999,2.00904,20.23,1.0,1.0
OC(=O)CCCCCCCCCCC(O)=O,water,298,-4.294115619,mol/L,230.30399999999995,3.0566000000000013,74.6,2.0,2.0
CCCCOC(=O)c1ccccc1C(=O)OCCCC,water,298,-4.387683254,mol/L,278.348,3.600400000000003,52.60000000000001,0.0,4.0
[Na+].[Na+].Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S]([O-])(=O)=O,water,298,-1.79226117,mol/L,678.6960000000004,-0.3840799999999942,172.59999999999997,2.0,10.0
Oc1ccc(c(O)c1O)C(=O)c2ccccc2,water,298,-3.345107824,mol/L,230.219,2.0343999999999993,77.75999999999999,3.0,4.0
[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,water,298,-3.561584268,mol/L,368.04900000000004,3.9681000000000015,0.0,0.0,0.0
NNC(N)=S,water,298,-0.959704259,mol/L,91.139,-1.3067000000000002,64.07,3.0,2.0
